time,obs,beta_t
0,0,0.8154845485377135
1,0,0.8041266395484381
2,4,0.7865938671059601
3,8,0.7633719036112885
4,8,0.7351079397961537
5,8,0.7025744277412985
6,10,0.6666273994125462
7,13,0.6281628631240326
8,16,0.588074676485163
9,29,0.5472168306723935
10,25,0.5063723541935267
11,24,0.4662301778726876
12,38,0.42737042248342977
13,35,0.39025778436105285
14,40,0.35524207874297586
15,38,0.322564594309494
16,41,0.2923687185571134
17,54,0.2647132871547646
18,49,0.23958724836356468
19,48,0.21692446574887228
20,53,0.19661776026736583
21,49,0.17853157570494668
22,35,0.16251290971305388
23,30,0.14840036824762537
24,39,0.13603136623215903
25,35,0.12524761186003738
26,25,0.11589908153364803
27,26,0.10784672527262672
28,27,0.10096414767225959
29,22,0.09513849585326624
30,19,0.09027076074855003
31,18,0.08627566734250099
32,19,0.08308129730037701
33,11,0.0806285565231095
34,11,0.07887057206598597
35,13,0.07777207819376745
36,7,0.07730883010202429
37,9,0.07746706560149977
38,14,0.07824301920166385
39,10,0.07964247881927831
40,12,0.08168036207985986
41,8,0.08438027629079235
42,9,0.08777401325890001
43,9,0.09190091710141418
44,10,0.09680705033498241
45,6,0.10254407157938715
46,7,0.1091677285138259
47,7,0.11673586425611839
48,4,0.1253058367478019
49,7,0.13493126225427066
50,8,0.1456580193156945
51,8,0.1575194919212684
52,5,0.17053109309753992
53,8,0.184684193644322
54,10,0.19993968388207814
55,8,0.2162215137070073
56,6,0.2334106781025622
57,9,0.2513402267397288
58,9,0.2697919582871746
59,13,0.28849549082644194
60,16,0.30713035804923894
61,18,0.3253316500298644
62,25,0.342699489987128
63,15,0.3588123209896699
64,23,0.3732435920388265
65,26,0.3855810211665263
66,25,0.39544722724502174
67,32,0.4025202215015527
68,41,0.40655208991670183
69,51,0.4073842196090783
70,59,0.40495764227280096
71,61,0.3993174715869264
72,73,0.39061095445727284
73,86,0.37907926866063835
74,95,0.36504379960315025
75,122,0.3488881356359884
76,90,0.33103736965295666
77,118,0.3119364462149294
78,137,0.29202924187441953
79,141,0.27173983609922286
80,136,0.25145706933876366
81,141,0.2315230545156315
82,141,0.21222587108039723
83,167,0.1937962804038957
84,134,0.17640799559207254
85,126,0.1601808370575329
86,121,0.1451860089237893
87,133,0.13145272811937156
88,106,0.1189755065131688
89,85,0.10772150172369287
90,77,0.09763749021315642
91,81,0.08865615675779998
92,71,0.08070152263988277
93,65,0.07369344194900411
94,47,0.0675511773255572
95,46,0.06219612338466524
96,39,0.05755378061253197
97,43,0.05355509883241602
98,24,0.050137311943869764
99,28,0.04724437886555199
100,25,0.044827133149800365
